url,lastmod
https://worthcalc.win/,2026-09-06T00:00:00.000Z
https://worthcalc.win/en/about/,2026-09-15T00:00:00.000Z
https://worthcalc.win/en/annual-fee-card-breakeven/,2026-09-15T00:00:00.000Z
https://worthcalc.win/en/annual-vs-monthly-billing/,2026-07-20T00:00:00.000Z
https://worthcalc.win/en/apr-vs-apy/,2026-08-29T00:00:00.000Z
https://worthcalc.win/en/average-commuting-cost/,2026-08-07T00:00:00.000Z
https://worthcalc.win/en/bnpl-vs-credit-card-installments/,2026-09-15T00:00:00.000Z
https://worthcalc.win/en/budget-with-irregular-income/,2026-07-31T00:00:00.000Z
https://worthcalc.win/en/bulk-buying-vs-small-packages/,2026-09-15T00:00:00.000Z
https://worthcalc.win/en/bulk-buying-waste-math/,2026-07-19T00:00:00.000Z
https://worthcalc.win/en/car-lease-vs-buy-total-cost/,2026-09-15T00:00:00.000Z
https://worthcalc.win/en/cashback-caps-real-reward-rate/,2026-09-15T00:00:00.000Z
https://worthcalc.win/en/changelog/,2026-07-19T00:00:00.000Z
https://worthcalc.win/en/contact/,2026-08-16T00:00:00.000Z
https://worthcalc.win/en/costco-math/,2026-09-22T00:00:00.000Z
https://worthcalc.win/en/credit-card-minimum-payment-trap/,2026-07-31T00:00:00.000Z
https://worthcalc.win/en/delivery-membership-break-even/,2026-09-15T00:00:00.000Z
https://worthcalc.win/en/disclaimer/,2026-07-19T00:00:00.000Z
https://worthcalc.win/en/emergency-fund-irregular-income/,2026-08-29T00:00:00.000Z
https://worthcalc.win/en/energy-efficient-appliance-payback/,2026-09-15T00:00:00.000Z
https://worthcalc.win/en/ev-vs-gas-total-cost/,2026-09-15T00:00:00.000Z
https://worthcalc.win/en/extended-warranty-math/,2026-07-21T00:00:00.000Z
https://worthcalc.win/en/extra-mortgage-payments-guide/,2026-07-31T00:00:00.000Z
https://worthcalc.win/en/full-commute-cost-including-time/,2026-09-15T00:00:00.000Z
https://worthcalc.win/en/guides/,2026-09-06T00:00:00.000Z
https://worthcalc.win/en/gym-membership-cost-per-visit/,2026-09-15T00:00:00.000Z
https://worthcalc.win/en/home-vs-public-ev-charging-cost/,2026-09-15T00:00:00.000Z
https://worthcalc.win/en/hourly-vs-annual-salary/,2026-07-31T00:00:00.000Z
https://worthcalc.win/en/how-compound-growth-works/,2026-07-31T00:00:00.000Z
https://worthcalc.win/en/how-to-calculate-dti/,2026-07-31T00:00:00.000Z
https://worthcalc.win/en/is-an-extended-warranty-worth-it/,2026-09-15T00:00:00.000Z
https://worthcalc.win/en/is-costco-executive-membership-worth-it/,2026-09-22T00:00:00.000Z
https://worthcalc.win/en/loan-term-monthly-payment-vs-total-interest/,2026-08-29T00:00:00.000Z
https://worthcalc.win/en/money/,2026-09-18T00:00:00.000Z
