source_url,hreflang,target_url,target_status,target_indexable,target_canonical,reciprocal,canonical_consistent,issue
https://worthcalc.win/ar/guides/3d-printer-electricity-cost-per-print-used/,ar,https://worthcalc.win/ar/guides/3d-printer-electricity-cost-per-print-used/,200,true,https://worthcalc.win/ar/guides/3d-printer-electricity-cost-per-print-used/,true,true,
https://worthcalc.win/ar/guides/3d-printer-electricity-cost-per-print-used/,es,https://worthcalc.win/es/guides/3d-printer-electricity-cost-per-print-used/,200,true,https://worthcalc.win/es/guides/3d-printer-electricity-cost-per-print-used/,true,true,
https://worthcalc.win/ar/guides/3d-printer-electricity-cost-per-print-used/,en,https://worthcalc.win/en/guides/3d-printer-electricity-cost-per-print-used/,200,true,https://worthcalc.win/en/guides/3d-printer-electricity-cost-per-print-used/,true,true,
https://worthcalc.win/ar/guides/3d-printer-electricity-cost-per-print-used/,hi,https://worthcalc.win/hi/guides/3d-printer-electricity-cost-per-print-used/,200,true,https://worthcalc.win/hi/guides/3d-printer-electricity-cost-per-print-used/,true,true,
https://worthcalc.win/ar/guides/3d-printer-electricity-cost-per-print-used/,zh-Hant,https://worthcalc.win/zh/guides/3d-printer-electricity-cost-per-print-used/,200,true,https://worthcalc.win/zh/guides/3d-printer-electricity-cost-per-print-used/,true,true,
https://worthcalc.win/ar/guides/3d-printer-electricity-cost-per-print-used/,x-default,https://worthcalc.win/en/guides/3d-printer-electricity-cost-per-print-used/,200,true,https://worthcalc.win/en/guides/3d-printer-electricity-cost-per-print-used/,true,true,
https://worthcalc.win/ar/guides/3d-scanner-electricity-cost-per-scanning-session-used/,ar,https://worthcalc.win/ar/guides/3d-scanner-electricity-cost-per-scanning-session-used/,200,true,https://worthcalc.win/ar/guides/3d-scanner-electricity-cost-per-scanning-session-used/,true,true,
https://worthcalc.win/ar/guides/3d-scanner-electricity-cost-per-scanning-session-used/,es,https://worthcalc.win/es/guides/3d-scanner-electricity-cost-per-scanning-session-used/,200,true,https://worthcalc.win/es/guides/3d-scanner-electricity-cost-per-scanning-session-used/,true,true,
https://worthcalc.win/ar/guides/3d-scanner-electricity-cost-per-scanning-session-used/,en,https://worthcalc.win/en/guides/3d-scanner-electricity-cost-per-scanning-session-used/,200,true,https://worthcalc.win/en/guides/3d-scanner-electricity-cost-per-scanning-session-used/,true,true,
https://worthcalc.win/ar/guides/3d-scanner-electricity-cost-per-scanning-session-used/,hi,https://worthcalc.win/hi/guides/3d-scanner-electricity-cost-per-scanning-session-used/,200,true,https://worthcalc.win/hi/guides/3d-scanner-electricity-cost-per-scanning-session-used/,true,true,
https://worthcalc.win/ar/guides/3d-scanner-electricity-cost-per-scanning-session-used/,zh-Hant,https://worthcalc.win/zh/guides/3d-scanner-electricity-cost-per-scanning-session-used/,200,true,https://worthcalc.win/zh/guides/3d-scanner-electricity-cost-per-scanning-session-used/,true,true,
https://worthcalc.win/ar/guides/3d-scanner-electricity-cost-per-scanning-session-used/,x-default,https://worthcalc.win/en/guides/3d-scanner-electricity-cost-per-scanning-session-used/,200,true,https://worthcalc.win/en/guides/3d-scanner-electricity-cost-per-scanning-session-used/,true,true,
https://worthcalc.win/ar/guides/air-fryer-cost-per-cooking-cycle-used/,ar,https://worthcalc.win/ar/guides/air-fryer-cost-per-cooking-cycle-used/,200,true,https://worthcalc.win/ar/guides/air-fryer-cost-per-cooking-cycle-used/,true,true,
https://worthcalc.win/ar/guides/air-fryer-cost-per-cooking-cycle-used/,es,https://worthcalc.win/es/guides/air-fryer-cost-per-cooking-cycle-used/,200,true,https://worthcalc.win/es/guides/air-fryer-cost-per-cooking-cycle-used/,true,true,
https://worthcalc.win/ar/guides/air-fryer-cost-per-cooking-cycle-used/,en,https://worthcalc.win/en/guides/air-fryer-cost-per-cooking-cycle-used/,200,true,https://worthcalc.win/en/guides/air-fryer-cost-per-cooking-cycle-used/,true,true,
https://worthcalc.win/ar/guides/air-fryer-cost-per-cooking-cycle-used/,hi,https://worthcalc.win/hi/guides/air-fryer-cost-per-cooking-cycle-used/,200,true,https://worthcalc.win/hi/guides/air-fryer-cost-per-cooking-cycle-used/,true,true,
